City,Population
Beecher City,456
Monroe Center,455
Buckner,451
German Valley,450
Cornell and Strasburg,447
Camargo and Neponset,446
Ipava,443
Bondville,442
Hull,439
Melvin,437
Waltonville,432
Edgewood and Humboldt,430
Benson and Sublette,428
Ullin,425
"Herrick, De Land, and Lomax",424
Cutler,422
Weldon,421
Waynesville,420
Sadorus,419
Kane and Leaf River,418
Hopewell,407
Como and Medora,405
Saunemin and New Haven,404
"Summerfield, Keyesport, and Table Grove",401
Belgium,400
Loda,399
Bay View Gardens,398
Elkhart,396
Joy and Dowell,392
Arenzville,389
Perry,387
Sparland,386
Bonnie,385
"Alto Pass, Xenia, and Good Hope",382
London Mills,381
Scales Mound,378
Thebes,375
"Ransom, Martinton, Bonfield, and Seymour",373
Secor,370
Prairie City,367
Ludlow,365
Hume and Varna,363
Latham,361
Sigel,360
Belle Rive and St. Peter,359
"Apple River, Broadlands, and Jeffersonville",356
West Union,354
Orient and Ellis Grove,353
"New Canton, Millbrook, and Roberts",350
"Baldwin, Malden, Bellflower, and McClure",349
Raleigh and Langleyville,348
Carbon Hill and Joppa,347
Manlius,346
Beaverville,345
Fayetteville and Mason,343
Opdyke,339
Virgil,337
Armington,335
"East Cape Girardeau, Nebo, and Panama",331
Little York,330
Winslow,329
Grantfork,328
Lee,327
Flat Rock,325
Campbell Hill and Woodland,324
Fillmore,321
Olivet,319
Kenney,318
New Douglas,317
Hanaford,316
"Kampsville, Alma, and Ruma",315
Middletown,313
Loraine and Rutland,311
Olmsted and Bureau Junction,310
"Seatonville, Victoria, and Hartsburg",309
Hindsboro and Rock City,307
Bath,306
Ewing and Apple Canyon Lake,304
Easton,302
Brocton,301
Royal and Kingston Mines,300
Lisbon and Donovan,298
Cave-In-Rock,297
Coalton and Stonefort,295
Chemung and Vergennes,294
"Arrowsmith, Buckingham, and Crab Orchard",293
Freeman Spur and Biggsville,291
Dunfermline,288
"Elizabethtown, Compton, and Allerton",287
Elliott,285
Kilbourne,284
Maquon,283
Lerna,282
Mapleton,281
Manchester,280
Oakford,279
Gladstone,278
Gays,277
Sammons Point,275
Bush,274
"Bellmont, East Gillespie, Indianola, and Sawyerville",270
